alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
cp-sh	synthetic	33333	300	0.05	0	7	2.2023	0:00:02	9.62	20.99	2.49	3.08	0.00	0.00	72.21	2.08	ok	33333	300	300	0.00	SH	7	0	1	0	Zero	41	31	31	388	431	307	0	21	30	0	1.44	0.06	0.09	0.02	0.03	0.00	0.02	13	10	41
cp-csh	synthetic	33333	300	0.05	0	7	3.0556	0:00:03	9.95	20.99	2.49	3.04	0.00	0.00	65.07	2.47	ok	33333	300	300	0.00	GapSeed	7	0	1	0	Zero	42	32	32	378	418	300	0	0	31	27	1.39	0.09	0.18	0.02	0.05	0.01	0.02	13	11	41
cp-sh	synthetic	10000	1000	0.05	0	7	2.2193	0:00:02	9.77	20.99	2.61	3.36	0.00	0.00	68.92	2.02	ok	10000	1000	1000	0.00	SH	7	0	1	0	Zero	135	102	102	1309	1455	1038	1	145	98	0	1.46	0.22	0.18	0.05	0.11	0.00	0.06	44	33	131
cp-csh	synthetic	10000	1000	0.05	0	7	2.9156	0:00:02	9.60	20.99	2.57	3.28	0.00	0.00	68.93	2.50	ok	10000	1000	1000	0.00	GapSeed	7	0	1	0	Zero	142	115	115	1264	1400	1006	1	1	105	87	1.40	0.28	0.28	0.07	0.16	0.03	0.06	44	36	137
cp-sh	synthetic	3333	3000	0.05	0	7	2.2816	0:00:02	10.21	21.12	2.85	3.39	0.00	0.00	65.32	1.97	ok	3333	3000	2999	0.00	SH	7	0	1	0	Zero	372	285	285	4072	4533	3212	3	823	263	0	1.51	0.67	0.53	0.14	0.40	0.00	0.13	132	87	351
cp-csh	synthetic	3333	3000	0.05	0	7	3.2818	0:00:03	10.08	21.12	2.77	3.29	0.00	0.00	82.61	3.17	ok	3333	3000	2999	0.00	GapSeed	7	0	1	0	Zero	428	402	402	3802	4211	3027	4	11	316	228	1.40	0.96	0.43	0.27	0.57	0.20	0.12	132	107	412
cp-sh	synthetic	1000	10000	0.05	0	7	3.4013	0:00:03	10.44	21.59	3.26	3.77	0.00	0.00	76.75	3.06	ok	1000	10000	9999	0.00	SH	7	0	1	0	Zero	891	702	702	17838	19860	13663	14	9482	574	0	1.99	3.34	0.76	0.53	2.26	0.00	0.55	441	189	763
cp-csh	synthetic	1000	10000	0.05	0	7	8.4039	0:00:08	10.71	21.96	3.61	4.12	0.00	0.00	85.55	7.68	ok	1000	10000	9999	0.00	GapSeed	7	0	1	0	Zero	1428	1951	1951	12697	14063	10112	13	128	1057	496	1.41	8.28	1.42	1.25	6.62	5.20	0.41	441	357	1371
cp-sh	synthetic	333	30000	0.05	0	7	12.4651	0:00:12	435.80	530.41	429.79	430.54	0.00	0.00	92.10	11.96	ok	1	30000	29979	0.00	SH	7	0	1	0	Zero	991	826	826	28388046	28561021	13779527	26689	6275692	490	0	952.03	12438.05	0.00	2.90	12427.94	0.00	7.20	1318	165	655
cp-csh	synthetic	333	30000	0.05	0	7	10.0269	0:00:10	13.35	24.63	6.20	6.89	0.00	0.00	92.75	9.79	ok	48	30000	30009	0.00	GapSeed	7	0	1	0	Zero	4285	11093	11093	38176	42285	30405	39	4188	3177	653	1.41	207.50	14.96	8.01	197.80	191.26	1.69	1320	1065	4110
cp-sh	synthetic	100	100000	0.05	0	7	100.2328	0:01:40	2719.18	2731.88	2711.93	2712.48	0.00	0.00	74.08	74.74	timeout 100s
cp-csh	synthetic	100	100000	0.05	0	7	14.7516	0:00:14	31.45	43.51	24.07	24.61	0.00	0.00	94.09	14.35	ok	1	100000	99989	0.00	GapSeed	7	0	1	0	Zero	14285	98341	98341	127002	140726	101061	129	31044	10575	688	1.41	14707.25	0.00	105.16	14596.59	14545.99	5.49	4416	3579	13696
cp-sh	synthetic	33	300000	0.05	0	7	20.0868	0:00:20	706.72	1054.12	699.42	700.13	0.00	0.00	75.28	15.59	timeout 20s
cp-csh	synthetic	33	300000	0.05	0	7	20.0352	0:00:20	152.30	169.42	145.29	146.01	0.00	0.00	74.86	15.47	timeout 20s
cp-sh	synthetic	10	1000000	0.05	0	7	100.2319	0:01:40	2730.28	2742.20	2723.00	2723.51	0.00	0.00	74.23	74.86	timeout 100s
cp-csh	synthetic	10	1000000	0.05	0	7	100.1516	0:01:40	1644.23	1821.38	1636.79	1637.31	0.00	0.00	74.14	74.72	timeout 100s
cp-sh	synthetic	3	3000000	0.05	0	7	20.1012	0:00:20	988.13	1076.17	981.03	981.70	0.00	0.00	75.81	15.74	timeout 20s
cp-csh	synthetic	3	3000000	0.05	0	7	20.2167	0:00:20	1547.79	2617.99	1540.33	1541.17	5.86	0.00	76.07	15.86	timeout 20s
cp-sh	synthetic	1	10000000	0.05	0	7	100.2507	0:01:40	2850.79	2870.82	2843.61	2844.11	0.00	0.00	73.45	74.15	timeout 100s
cp-csh	synthetic	1	10000000	0.05	0	7	101.2391	0:01:41	16771.93	20635.49	16764.90	16765.45	0.00	0.00	74.61	76.01	timeout 100s
cp-sh	synthetic	100000	100	0.05	0	8	2.2668	0:00:02	9.85	20.99	2.48	3.25	0.00	0.00	69.70	2.17	ok	100000	100	99	0.00	SH	8	0	1	0	Zero	11	8	8	130	144	104	0	1	8	0	1.44	0.02	0.05	0.01	0.01	0.00	0.00	4	3	12
cp-csh	synthetic	100000	100	0.05	0	8	2.6650	0:00:02	9.64	20.99	2.45	3.23	0.00	0.00	58.50	2.16	ok	100000	100	99	0.00	GapSeed	8	0	1	0	Zero	12	8	8	127	140	102	0	0	8	7	1.41	0.03	0.09	0.01	0.01	0.00	0.00	4	3	12
cp-sh	synthetic	33333	300	0.05	0	8	2.1276	0:00:02	9.88	20.99	2.49	3.00	0.00	0.00	73.80	2.05	ok	33333	300	300	0.00	SH	8	0	1	0	Zero	36	26	26	397	441	320	0	20	25	0	1.47	0.06	0.11	0.01	0.03	0.00	0.02	13	10	36
cp-csh	synthetic	33333	300	0.05	0	8	2.6120	0:00:02	9.85	20.99	2.48	3.11	0.00	0.00	59.61	2.05	ok	33333	300	300	0.00	GapSeed	8	0	1	0	Zero	37	26	26	388	429	314	0	0	26	23	1.43	0.08	0.13	0.02	0.04	0.01	0.02	13	11	36
cp-sh	synthetic	10000	1000	0.05	0	8	2.1788	0:00:02	9.75	20.99	2.55	3.31	0.00	0.00	69.79	2.00	ok	10000	1000	1000	0.00	SH	8	0	1	0	Zero	123	89	89	1337	1484	1081	1	136	86	0	1.48	0.21	0.28	0.04	0.11	0.00	0.06	44	34	121
cp-csh	synthetic	10000	1000	0.05	0	8	2.5203	0:00:02	9.75	20.99	2.53	3.25	0.00	0.00	61.51	2.04	ok	10000	1000	1000	0.00	GapSeed	8	0	1	0	Zero	125	92	92	1302	1441	1055	1	1	88	77	1.44	0.25	0.15	0.05	0.14	0.02	0.05	44	36	122
