alg	cnt	n	e	r	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	t	t_std	precom	align	prune	trace	ed	h0	h0end
csh	10	10000	0.28	1	9	38.3172	0:00:38	388.20	567.39	381.00	382.34	0.00	0.00	38.60	15.28	ok	10	10000	10015	0.00	CSH	9	0	1	0	Zero	1111	199	199	15783004	16034374	7201936	86548	650429	159	58	1600.99	3830.32	117.85	0.21	3828.75	45.98	1.36	2070	958	1102
sh	10	10000	0.3	1	9	39.8071	0:00:39	444.39	567.58	437.05	438.44	0.00	0.00	37.23	15.31	ok	10	10000	10013	0.00	SH	9	0	1	0	Zero	1111	165	165	18119131	18402725	8266103	98106	504079	133	58	1837.83	3979.32	158.79	0.19	3977.76	0.00	1.37	2186	946	1074
csh	10	10000	0.3	1	9	42.3724	0:00:42	388.03	399.23	380.80	382.14	0.00	0.00	35.02	15.32	ok	10	10000	10013	0.00	CSH	9	0	1	0	Zero	1111	171	171	17648145	17930271	8051883	98327	565058	133	46	1790.65	4234.98	120.27	0.20	4233.41	47.86	1.37	2186	983	1102
sh	10	10000	0.32	1	9	39.8008	0:00:39	392.13	567.39	384.77	385.85	0.00	0.00	37.14	15.26	ok	10	10000	9991	0.00	SH	9	0	1	0	Zero	1111	148	148	19796490	20108940	9032265	108521	488955	119	48	2010.89	3978.76	142.04	0.19	3977.21	0.00	1.37	2287	963	1076
csh	10	10000	0.32	1	9	42.8498	0:00:42	388.26	399.46	380.98	382.06	0.00	0.00	34.54	15.29	ok	10	10000	9991	0.00	CSH	9	0	1	0	Zero	1111	154	154	19365908	19677604	8836320	109071	529848	119	37	1967.76	4283.56	156.63	0.20	4282.02	50.66	1.35	2287	998	1102
sh	10	10000	0.34	1	9	42.5245	0:00:42	388.48	399.44	381.05	382.12	0.00	0.00	34.78	15.28	ok	10	10000	9986	0.00	SH	9	0	1	0	Zero	1111	140	140	21812217	22157182	9949891	120285	481892	108	40	2215.72	4251.12	394.95	0.18	4249.60	0.00	1.34	2398	970	1075
csh	10	10000	0.34	1	9	48.8166	0:00:48	388.17	567.35	380.88	381.97	0.00	0.00	91.62	45.22	ok	10	10000	9986	0.00	CSH	9	0	1	0	Zero	1111	145	145	21360537	21704681	9744821	120789	530784	108	28	2170.47	4880.27	181.57	0.21	4878.69	56.05	1.37	2398	1008	1102
sh	10	10000	0.01	2	9	0.0540	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10000	0.00	SH	9	1	1	0	Zero	1111	1110	1110	10558	10822	9247	0	0	1120	984	1.08	3.88	0.22	3.09	0.43	0.00	0.36	90	77	1080
csh	10	10000	0.01	2	9	0.0770	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10000	0.00	CSH	9	1	1	0	Zero	1111	7950	7950	10501	10752	9203	0	178	1116	0	1.08	6.15	0.22	4.45	1.36	0.99	0.34	90	84	1180
sh	10	10000	0.02	2	9	0.0544	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	SH	9	1	1	0	Zero	1111	1109	1109	11209	11767	9661	2	3	1125	889	1.18	3.92	0.22	3.16	0.53	0.00	0.23	181	153	1080
csh	10	10000	0.02	2	9	0.0788	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	CSH	9	1	1	0	Zero	1111	7735	7735	11077	11604	9565	2	435	1117	0	1.16	6.34	0.38	4.47	1.64	1.12	0.23	181	168	1243
sh	10	10000	0.04	2	9	0.0581	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10003	0.00	SH	9	1	1	0	Zero	1111	1106	1106	12696	13854	10594	11	19	1116	747	1.38	4.28	0.34	3.20	0.66	0.00	0.42	358	283	1095
csh	10	10000	0.04	2	9	0.0844	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10003	0.00	CSH	9	1	1	0	Zero	1111	7183	7183	12248	13311	10277	9	1132	1101	0	1.33	6.88	0.22	4.39	2.14	1.38	0.35	358	328	1353
sh	10	10000	0.06	2	9	0.0570	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	SH	9	1	1	0	Zero	1111	1100	1100	14985	16819	12023	20	79	1090	635	1.68	4.20	0.36	3.03	0.91	0.00	0.27	518	394	1111
csh	10	10000	0.06	2	9	0.0862	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	CSH	9	1	1	0	Zero	1111	6757	6757	13594	15183	11093	15	2040	1066	0	1.52	7.04	0.22	4.20	2.58	1.52	0.25	518	473	1448
sh	10	10000	0.08	2	9	0.0607	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9993	0.00	SH	9	1	1	0	Zero	1111	1095	1095	19439	22263	14742	47	432	1065	524	2.23	4.60	0.31	2.86	1.34	0.00	0.40	694	499	1119
csh	10	10000	0.08	2	9	0.0917	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9993	0.00	CSH	9	1	1	0	Zero	1111	6330	6330	15537	17785	12283	45	3558	1028	0	1.78	7.62	0.26	4.14	3.16	1.72	0.31	694	625	1531
sh	10	10000	0.1	2	9	0.0701	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	SH	9	1	1	0	Zero	1111	1086	1086	28352	32549	19989	95	1545	1056	438	3.25	5.48	0.31	2.93	2.17	0.00	0.38	849	580	1129
csh	10	10000	0.1	2	9	0.1002	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	9998	0.00	CSH	9	1	1	0	Zero	1111	5961	5961	17675	20578	13530	71	5457	981	0	2.06	8.50	0.18	4.07	3.87	1.98	0.57	849	754	1610
sh	10	10000	0.12	2	9	0.0938	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10009	0.00	SH	9	1	1	0	Zero	1111	1078	1078	51113	57604	32794	223	10726	1083	367	5.75	7.90	1.28	2.80	4.66	0.00	0.45	1001	662	1148
csh	10	10000	0.12	2	9	0.1049	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10009	0.00	CSH	9	1	1	0	Zero	1111	5685	5685	20459	24051	15257	115	8083	937	0	2.40	8.96	0.28	3.96	4.70	2.17	0.31	1001	873	1667
sh	10	10000	0.14	2	9	0.2930	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10005	0.00	SH	9	1	1	0	Zero	1111	1070	1070	165192	178098	91067	923	98442	1281	313	17.80	27.59	6.88	3.20	23.79	0.00	0.60	1150	726	1188
csh	10	10000	0.14	2	9	0.1155	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10005	0.00	CSH	9	1	1	0	Zero	1111	5390	5390	23815	28146	17190	164	11681	885	0	2.81	10.02	0.31	3.93	5.73	2.47	0.36	1150	985	1722
sh	10	10000	0.16	2	9	2.3254	0:00:02	53.38	64.55	46.06	47.44	0.00	0.00	65.35	2.01	ok	10	10000	10003	0.00	SH	9	1	1	0	Zero	1111	1065	1065	1197210	1231203	568316	7678	633211	1560	265	123.08	230.97	58.76	2.91	227.16	0.00	0.90	1290	773	1229
