alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
edlib	1000	100000	0.05	209.0055	0:03:29	198.95	210.59	193.58	194.42	0.00	0.00	92.78	194.38
wfa	1000	100000	0.05	96.6369	0:01:36	264.49	277.28	259.76	260.43	0.00	0.00	77.86	75.74
pa	1000	100000	0.1	63.9774	0:01:03	220.55	233.20	216.03	216.46	0.00	0.00	69.84	45.19
edlib	1000	100000	0.1	340.9490	0:05:40	198.89	210.61	192.57	192.94	0.00	0.00	92.03	314.21
wfa	1000	100000	0.1	346.2352	0:05:46	882.26	900.45	877.62	877.90	0.00	0.00	90.82	314.94
pa	1000	100000	0.2	228.5584	0:03:48	254.93	266.00	248.94	250.05	1.81	0.00	97.87	224.21
edlib	1000	100000	0.2	394.9316	0:06:34	198.66	210.75	193.25	193.97	2.07	0.00	94.54	373.83
wfa	1000	100000	0.2	600.2343	0:10:00	2935.59	2976.95	2935.35	2935.37	63.45	0.00	97.64	586.50
pa	333	300000	0.01	8.8147	0:00:08	231.80	246.33	225.93	227.75	0.00	0.00	88.84	8.29
edlib	333	300000	0.01	146.1613	0:02:26	201.74	213.12	196.17	197.24	0.00	0.00	92.33	135.44
wfa	333	300000	0.01	16.2855	0:00:16	164.96	177.26	160.61	161.42	0.25	0.00	92.78	15.58
pa	333	300000	0.05	18.9159	0:00:18	213.58	225.41	207.75	208.29	190.55	0.00	78.72	15.38
edlib	333	300000	0.05	263.2168	0:04:23	201.62	213.24	196.34	197.05	0.55	0.00	96.43	254.32
wfa	333	300000	0.05	217.0782	0:03:37	2118.63	2148.84	2114.60	2114.63	107.42	0.00	89.92	195.69
pa	333	300000	0.1	110.1136	0:01:50	330.68	345.33	324.56	325.17	0.00	0.00	95.47	105.62
edlib	333	300000	0.1	600.0264	0:10:00	201.49	213.16	195.66	195.95	3.05	0.00	96.52	579.67
wfa	333	300000	0.1	600.4631	0:10:00	7645.91	7727.44	7642.31	7642.35	54.22	0.00	97.18	583.97
pa	333	300000	0.2	443.9540	0:07:23	379.31	392.13	373.25	374.94	0.41	0.00	97.54	433.56
edlib	333	300000	0.2	600.0278	0:10:00	201.59	213.22	196.45	197.25	0.00	0.00	96.76	581.03
wfa	333	300000	0.2	601.5664	0:10:01	26125.58	26389.79	26120.71	26121.18	0.00	0.00	97.51	587.15
pa	100	1000000	0.01	15.9121	0:00:15	297.53	318.78	293.52	294.26	0.00	0.00	94.08	15.46
edlib	100	1000000	0.01	349.9652	0:05:49	204.62	216.55	199.03	199.32	0.00	0.00	98.33	344.63
wfa	100	1000000	0.01	53.3159	0:00:53	1030.80	1142.35	1026.30	1026.63	0.00	0.00	85.03	45.81
pa	100	1000000	0.05	25.4129	0:00:25	255.96	270.65	250.18	250.74	0.00	0.00	60.33	15.81
edlib	100	1000000	0.05	600.0282	0:10:00	204.64	216.48	199.47	200.04	0.00	0.00	97.03	582.68
wfa	100	1000000	0.05	601.3586	0:10:01	22750.79	23072.60	22746.29	22746.75	0.00	0.00	97.66	587.75
pa	100	1000000	0.1	112.8042	0:01:52	667.62	683.09	661.63	662.87	0.00	0.00	93.58	106.06
edlib	100	1000000	0.1	600.0275	0:10:00	204.76	216.46	198.76	199.77	0.00	0.00	96.90	581.89
wfa	100	1000000	0.1	45.4846	0:00:45	24350.02	25069.06	24346.64	24347.17	0.00	0.00	33.15	15.57
pa	100	1000000	0.2	92.9902	0:01:32	905.82	970.39	904.67	906.33	191.02	0.00	81.01	75.83
edlib	100	1000000	0.2	600.0274	0:10:00	201.05	216.46	198.69	198.75	0.80	0.00	96.82	581.45
wfa	100	1000000	0.2	30.6684	0:00:30	24944.89	25691.16	24942.34	24943.00	0.52	0.00	49.24	15.59
pa	33	3000000	0.01	20.8962	0:00:20	572.20	613.48	566.25	567.01	0.00	0.00	72.51	15.64
edlib	33	3000000	0.01	600.0298	0:10:00	213.29	227.82	210.18	210.24	2.77	0.00	96.68	580.61
wfa	33	3000000	0.01	194.2011	0:03:14	8808.44	9186.97	8808.21	8808.26	156.96	0.00	85.30	166.12
pa	33	3000000	0.05	26.8157	0:00:26	896.32	907.21	892.07	893.27	0.00	0.00	56.84	15.73
edlib	33	3000000	0.05	600.0297	0:10:00	209.03	227.26	208.26	208.34	0.65	0.00	96.93	581.98
wfa	33	3000000	0.05	44.6994	0:00:44	24001.01	24936.37	23997.52	23998.32	0.25	0.00	33.71	15.56
pa	33	3000000	0.1	177.5088	0:02:57	1674.35	1690.87	1673.79	1673.99	2.16	0.00	92.87	165.36
edlib	33	3000000	0.1	600.0231	0:10:00	213.57	227.26	208.31	208.89	3.62	0.00	96.53	579.68
wfa	33	3000000	0.1	47.5605	0:00:47	21687.83	22552.60	21683.31	21683.74	0.00	0.00	31.69	15.56
edlib	33	3000000	0.2	600.0279	0:10:00	208.57	227.11	207.84	207.91	0.06	0.00	96.88	581.79
wfa	33	3000000	0.2	44.1117	0:00:44	25313.99	26301.87	25312.47	25313.29	8.80	0.00	34.16	15.55
pa	10	10000000	0.01	23.5455	0:00:23	1643.32	1691.68	1666.58	1668.32	0.00	0.00	64.43	15.65
edlib	10	10000000	0.01	600.0482	0:10:00	265.73	282.02	264.38	264.45	194.58	0.00	97.01	582.61
wfa	10	10000000	0.01	77.3659	0:01:17	33974.29	36079.41	33970.61	33971.76	0.00	0.00	58.32	45.60
pa	10	10000000	0.05	39.3731	0:00:39	3189.50	3276.56	3209.65	3211.42	0.00	0.00	38.58	15.68
edlib	10	10000000	0.05	600.0332	0:10:00	249.50	274.76	249.51	249.53	0.30	0.00	96.84	581.54
wfa	10	10000000	0.05	42.9870	0:00:42	24748.75	26536.46	24745.89	24746.53	0.25	0.00	34.87	15.48
pa	10	10000000	0.1	225.5589	0:03:45	6097.15	6113.19	6096.19	6096.48	0.87	0.00	86.64	195.92
edlib	10	10000000	0.1	600.0426	0:10:00	223.86	237.80	219.27	220.42	196.94	0.00	96.88	581.77
wfa	10	10000000	0.1	37.6956	0:00:37	21962.65	23651.85	21959.65	21960.33	0.25	0.00	38.78	15.12
edlib	10	10000000	0.2	600.0291	0:10:00	223.32	237.80	218.97	219.00	0.16	0.00	96.97	582.37
wfa	10	10000000	0.2	43.5530	0:00:43	25394.05	27199.04	25390.62	25391.26	0.00	0.00	34.53	15.52
pa	3	30000000	0.01	26.0029	0:00:26	5589.44	5931.63	5694.98	5695.80	0.00	0.00	58.72	15.76
edlib	3	30000000	0.01	600.0349	0:10:00	257.83	275.93	257.87	257.89	1.93	0.00	96.71	580.73
wfa	3	30000000	0.01	80.6317	0:01:20	34315.58	38765.96	34311.61	34312.05	0.00	0.00	55.41	45.16
pa	3	30000000	0.05	44.3557	0:00:44	11710.77	11889.97	11725.00	11726.05	174.54	0.00	35.26	16.11
edlib	3	30000000	0.05	600.0347	0:10:00	254.86	275.92	251.81	251.83	0.68	0.00	96.49	579.40
wfa	3	30000000	0.05	47.1844	0:00:47	23881.02	27978.65	23876.67	23877.46	0.07	0.00	32.11	15.64
pa	3	30000000	0.1	266.3393	0:04:26	20616.00	20632.18	20615.18	20615.47	1.46	0.00	97.11	259.16
edlib	3	30000000	0.1	600.0299	0:10:00	254.17	275.93	249.77	249.80	1.00	0.00	96.50	579.44
wfa	3	30000000	0.1	37.2490	0:00:37	23489.85	27574.64	23487.19	23487.52	0.00	0.00	39.19	15.08
edlib	3	30000000	0.2	600.0182	0:10:00	254.04	275.92	249.98	249.99	0.00	0.00	97.47	585.37
wfa	3	30000000	0.2	42.9891	0:00:42	24964.29	29093.73	24960.35	24960.90	0.00	0.00	34.89	15.49
pa	1	100000000	0.01	29.6261	0:00:29	10663.08	10892.68	10677.86	10679.66	194.87	0.00	55.33	16.86
edlib	1	100000000	0.01	600.0709	0:10:00	450.19	495.27	450.41	450.42	195.90	0.00	96.95	582.17
wfa	1	100000000	0.01	37.5422	0:00:37	17651.91	29705.99	17647.40	17648.28	0.00	0.00	39.05	15.12
pa	1	100000000	0.05	40.0781	0:00:40	6163.94	6414.44	6189.70	6191.47	194.30	0.00	41.87	17.25
edlib	1	100000000	0.05	600.0600	0:10:00	448.82	495.27	445.55	445.69	194.77	0.00	97.15	583.41
wfa	1	100000000	0.05	38.9592	0:00:38	23767.82	36000.72	23764.84	23765.98	0.25	0.00	38.69	15.54
pa	1	100000000	0.1	416.8682	0:06:56	20014.17	20176.78	20012.45	20012.96	0.00	0.00	91.92	383.79
edlib	1	100000000	0.1	600.0486	0:10:00	449.05	495.27	444.05	444.07	0.58	0.00	97.00	582.48
wfa	1	100000000	0.1	43.0937	0:00:43	25645.91	37932.14	25641.17	25641.66	0.00	0.00	34.88	15.51
edlib	1	100000000	0.2	600.0433	0:10:00	448.62	495.27	443.87	443.90	0.76	0.00	96.91	581.98
wfa	1	100000000	0.2	45.0659	0:00:45	25284.28	37560.39	25280.95	25281.45	0.00	0.00	33.22	15.46
