alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
edlib	1000	1000	0.05	0.1951	0:00:00	2.88	7.11	0.44	0.73	0.00	0.00	0.00	0.00
wfa	1000	1000	0.05	0.0627	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	1000	1000	0.1	0.2968	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	1000	1000	0.1	0.2172	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	1000	1000	0.1	0.0800	0:00:00	0.00	1.31	0.02	0.02	0.13	0.00	0.00	0.00
pa	1000	1000	0.2	0.8563	0:00:00	9.06	20.03	3.29	3.96	0.00	0.00	0.00	0.48
edlib	1000	1000	0.2	0.2189	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	1000	1000	0.2	0.1631	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	333	3000	0.01	0.0969	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	333	3000	0.01	0.3202	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	333	3000	0.01	0.0245	0:00:00	2.83	7.11	0.38	0.69	0.00	0.00	0.00	0.00
pa	333	3000	0.05	0.1739	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	333	3000	0.05	0.3818	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	333	3000	0.05	0.0575	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	333	3000	0.1	0.3284	0:00:00	1.33	7.11	0.35	0.60	0.00	0.00	0.00	0.00
edlib	333	3000	0.1	0.4030	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	333	3000	0.1	0.1295	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	333	3000	0.2	0.9934	0:00:00	9.85	20.74	3.95	4.66	0.00	0.00	0.00	0.48
edlib	333	3000	0.2	0.4353	0:00:00	2.94	7.11	0.45	0.74	0.00	0.00	0.00	0.00
wfa	333	3000	0.2	0.3660	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	100	10000	0.01	0.0872	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	100	10000	0.01	0.4614	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
wfa	100	10000	0.01	0.0258	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	100	10000	0.05	0.1610	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	100	10000	0.05	0.5762	0:00:00	9.04	20.79	2.98	3.27	0.00	0.00	0.00	0.48
wfa	100	10000	0.05	0.1137	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	100	10000	0.1	0.3493	0:00:00	2.73	7.11	0.06	0.53	0.00	0.00	0.00	0.00
edlib	100	10000	0.1	0.6718	0:00:00	9.06	20.40	3.74	4.51	0.00	0.00	0.00	0.48
wfa	100	10000	0.1	0.3890	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	100	10000	0.2	1.1361	0:00:01	13.09	23.96	7.20	8.22	0.00	0.00	44.87	1.00
edlib	100	10000	0.2	0.8849	0:00:00	8.73	20.39	4.04	4.82	0.00	0.00	0.00	0.49
wfa	100	10000	0.2	1.3307	0:00:01	37.57	48.68	32.86	33.60	0.00	0.00	38.33	0.99
pa	33	30000	0.01	0.0864	0:00:00	2.80	7.11	0.45	0.80	0.00	0.00	0.00	0.00
edlib	33	30000	0.01	0.5567	0:00:00	9.48	20.73	4.01	4.79	0.00	0.00	0.00	0.49
wfa	33	30000	0.01	0.0341	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	33	30000	0.05	0.1684	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	33	30000	0.05	0.9167	0:00:00	9.32	20.72	3.19	3.48	0.00	0.00	0.00	0.50
wfa	33	30000	0.05	0.3245	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	33	30000	0.1	0.4347	0:00:00	2.77	7.11	0.45	0.75	0.00	0.00	0.00	0.00
edlib	33	30000	0.1	1.1757	0:00:01	9.26	20.74	4.09	4.91	0.00	0.00	43.43	1.01
wfa	33	30000	0.1	1.1308	0:00:01	93.52	105.30	88.99	89.48	0.00	0.00	45.07	1.00
pa	33	30000	0.2	1.5376	0:00:01	21.39	32.41	15.62	16.35	0.00	0.00	33.78	1.01
edlib	33	30000	0.2	1.8595	0:00:01	9.38	20.75	3.29	4.42	0.00	0.00	54.85	1.51
wfa	33	30000	0.2	3.7045	0:00:03	277.71	291.07	273.07	273.58	0.00	0.00	80.71	3.44
pa	10	100000	0.01	0.1200	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	10	100000	0.01	0.9406	0:00:00	9.54	21.07	3.49	4.57	0.00	0.00	0.00	0.48
wfa	10	100000	0.01	0.0910	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10	100000	0.05	0.2087	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	10	100000	0.05	2.1011	0:00:02	9.46	20.93	3.42	3.70	0.00	0.00	71.87	1.96
wfa	10	100000	0.05	1.0959	0:00:01	246.83	260.04	242.16	242.39	0.00	0.00	48.38	1.01
pa	10	100000	0.1	0.9269	0:00:00	29.61	40.56	23.86	24.52	0.00	0.00	0.00	0.28
edlib	10	100000	0.1	5.0403	0:00:05	10.14	21.66	3.46	4.14	0.00	0.00	57.54	3.28
wfa	10	100000	0.1	4.3324	0:00:04	864.16	883.29	859.61	860.24	0.25	0.00	71.38	3.57
pa	10	100000	0.2	2.3601	0:00:02	62.15	73.30	56.54	57.09	0.00	0.00	61.88	1.95
edlib	10	100000	0.2	3.7271	0:00:03	9.47	21.12	3.52	3.78	0.00	0.00	81.22	3.52
wfa	10	100000	0.2	12.6258	0:00:12	2913.40	2960.94	2908.91	2909.14	0.00	0.00	90.50	11.94
pa	3	300000	0.01	0.1253	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	3	300000	0.01	1.4003	0:00:01	10.91	22.27	5.53	6.34	0.00	0.00	36.66	1.01
wfa	3	300000	0.01	0.2138	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	3	300000	0.05	0.2380	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	3	300000	0.05	3.4335	0:00:03	10.58	22.30	5.52	6.27	0.00	0.00	70.19	2.90
wfa	3	300000	0.05	3.4164	0:00:03	2072.12	2105.23	2067.35	2068.03	0.00	0.00	75.50	3.07
pa	3	300000	0.1	1.4770	0:00:01	124.52	140.67	118.68	119.34	0.00	0.00	26.38	0.77
edlib	3	300000	0.1	8.5265	0:00:08	5.16	22.30	4.78	4.97	1.66	0.00	65.32	5.95
wfa	3	300000	0.1	17.4906	0:00:17	7594.64	7704.89	7593.93	7594.13	3.60	0.00	66.63	12.04
pa	3	300000	0.2	4.1194	0:00:04	160.77	175.11	155.02	155.69	0.00	0.00	74.53	3.55
edlib	3	300000	0.2	10.5894	0:00:10	10.77	22.33	4.80	5.09	0.00	0.00	89.61	9.93
wfa	3	300000	0.2	43.4906	0:00:43	24467.40	25109.81	24468.67	24468.68	3.75	0.00	34.40	15.44
pa	1	1000000	0.01	0.2503	0:00:00	2.83	7.11	0.04	0.45	0.00	0.00	0.00	0.00
edlib	1	1000000	0.01	3.7769	0:00:03	14.73	26.52	8.64	9.61	0.20	0.00	78.58	3.46
wfa	1	1000000	0.01	1.2190	0:00:01	954.75	1094.69	950.15	950.51	0.00	0.00	29.52	0.74
pa	1	1000000	0.05	0.2917	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
edlib	1	1000000	0.05	12.8188	0:00:12	14.89	26.88	9.58	10.36	0.00	0.00	91.53	12.21
wfa	1	1000000	0.05	22.6129	0:00:22	22299.11	22846.87	22287.34	22288.03	0.00	0.00	64.83	15.15
pa	1	1000000	0.1	1.3673	0:00:01	173.62	201.68	167.84	168.54	0.00	0.00	38.80	1.01
edlib	1	1000000	0.1	23.9184	0:00:23	14.69	26.88	9.35	10.10	0.00	0.00	62.00	15.31
wfa	1	1000000	0.1	44.7645	0:00:44	23467.43	24155.92	23463.74	23464.22	0.00	0.00	33.31	15.39
pa	1	1000000	0.2	10.8604	0:00:10	585.20	651.55	579.66	580.32	0.00	0.00	60.92	7.10
edlib	1	1000000	0.2	49.4674	0:00:49	11.62	26.39	8.80	8.96	1.66	0.00	79.82	39.81
wfa	1	1000000	0.2	39.5524	0:00:39	17762.65	18289.62	17763.72	17763.77	0.89	0.00	27.62	11.16
