alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
wfa	0	1000000	0.01	0.0167	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	0	1000000	0.05	0.0063	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	1000000	0.05	0.0228	0:00:00	3.02	7.10	0.04	0.40	0.00	0.00	0.00	0.00
wfa	0	1000000	0.05	0.0182	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	1000000	0.2	0.0063	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	1000000	0.2	0.0139	0:00:00	2.77	7.10	0.45	0.60	0.00	0.00	0.00	0.00
wfa	0	1000000	0.2	0.0471	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	3000000	0.01	0.0064	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	3000000	0.01	0.0250	0:00:00	2.90	7.10	0.44	0.60	0.00	0.00	0.00	0.00
wfa	0	3000000	0.01	0.0995	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	3000000	0.05	0.0118	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	3000000	0.05	0.0218	0:00:00	-	-	-	-	-	-	0.00	0
wfa	0	3000000	0.05	0.0164	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	3000000	0.2	0.0083	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	3000000	0.2	0.0865	0:00:00	-	-	-	-	-	-	0.00	0
wfa	0	3000000	0.2	0.0125	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	10000000	0.01	0.0107	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	10000000	0.01	0.0895	0:00:00	-	-	-	-	-	-	0.00	0
wfa	0	10000000	0.01	0.0774	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	10000000	0.05	0.0063	0:00:00	-	-	-	-	-	-	0.00	0
edlib	0	10000000	0.05	0.1050	0:00:00	-	-	-	-	-	-	0.00	0
wfa	0	10000000	0.05	0.0854	0:00:00	-	-	-	-	-	-	0.00	0
pa	0	10000000	0.2	0.0131	0:00:00	2.92	7.10	0.45	0.61	0.00	0.00	0.00	0.00
edlib	0	10000000	0.2	0.0982	0:00:00	-	-	-	-	-	-	0.00	0
wfa	0	10000000	0.2	0.0240	0:00:00	2.86	7.10	0.45	0.62	0.00	0.00	0.00	0.00
