alg	cnt	n	e	k	m	pf	band	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	100000	100	0.01	8	0	1.0	1.019	1.8017	0:00:01	32.42	45.22	26.74	27.14	0.00	0.00	57.16	1.50
pa	100000	100	0.01	8	0	1.0	1.019	1.7953	0:00:01	32.46	45.22	26.75	27.14	0.00	0.00	56.80	1.49
pa	100000	100	0.01	10	0	0.01	1.019	1.4124	0:00:01	32.29	45.22	26.73	27.14	0.00	0.00	36.15	1.00
pa	100000	100	0.01	10	0	0.01	1.019	1.4310	0:00:01	32.33	45.22	26.73	27.23	0.00	0.00	37.21	1.01
pa	100000	100	0.01	10	0	0.01	1.019	1.4347	0:00:01	32.35	45.22	26.72	27.11	0.00	0.00	35.59	0.98
pa	100000	100	0.01	10	0	0.4	1.019	1.6331	0:00:01	32.39	45.22	26.73	27.15	0.00	0.00	62.47	1.50
pa	100000	100	0.01	10	0	0.4	1.019	1.6226	0:00:01	32.41	45.22	26.75	27.19	0.00	0.00	64.08	1.50
pa	100000	100	0.01	10	0	0.4	1.019	1.5576	0:00:01	32.34	45.22	26.75	27.14	0.00	0.00	32.11	0.99
pa	100000	100	0.01	10	0	0.8	1.019	1.6935	0:00:01	32.41	45.22	26.79	27.24	0.00	0.00	61.41	1.52
pa	100000	100	0.01	10	0	0.8	1.019	1.6328	0:00:01	32.60	45.22	26.73	27.13	0.00	0.00	63.04	1.51
pa	100000	100	0.01	10	0	0.8	1.019	1.6136	0:00:01	32.50	45.22	26.73	27.17	0.00	0.00	65.10	1.53
pa	100000	100	0.01	10	0	1.0	1.019	1.6527	0:00:01	32.21	45.22	26.72	27.15	0.00	0.00	61.73	1.50
pa	100000	100	0.01	10	0	1.0	1.019	1.5824	0:00:01	32.55	45.22	26.73	27.14	0.00	0.00	65.10	1.51
pa	100000	100	0.01	10	0	1.0	1.019	1.5740	0:00:01	32.42	45.22	26.73	27.12	0.00	0.00	32.51	1.03
pa	100000	100	0.01	12	0	0.01	1.019	1.2506	0:00:01	32.40	45.22	26.75	27.14	0.00	0.00	40.80	1.00
pa	100000	100	0.01	12	0	0.01	1.019	1.2545	0:00:01	32.33	45.22	26.75	27.15	0.00	0.00	40.70	1.00
pa	100000	100	0.01	12	0	0.01	1.019	1.2546	0:00:01	32.40	45.22	26.73	27.13	0.00	0.00	40.28	1.00
pa	100000	100	0.01	12	0	0.4	1.019	1.3971	0:00:01	32.47	45.22	26.75	27.19	0.00	0.00	36.51	0.98
pa	100000	100	0.01	12	0	0.4	1.019	1.3722	0:00:01	32.45	45.22	26.71	27.15	0.00	0.00	36.23	1.01
pa	100000	100	0.01	12	0	0.4	1.019	1.3608	0:00:01	32.59	45.22	26.72	27.12	0.00	0.00	36.76	0.97
pa	100000	100	0.01	12	0	0.8	1.019	1.3802	0:00:01	32.47	45.22	26.77	27.16	0.00	0.00	37.64	1.02
pa	100000	100	0.01	12	0	0.8	1.019	1.3846	0:00:01	32.30	45.22	26.72	27.10	0.00	0.00	37.83	1.01
pa	100000	100	0.01	12	0	0.8	1.019	1.3959	0:00:01	32.26	45.22	26.71	27.11	0.00	0.00	37.53	1.00
pa	100000	100	0.01	12	0	1.0	1.019	1.3877	0:00:01	32.26	45.22	26.72	27.12	0.00	0.00	37.42	0.99
pa	100000	100	0.01	12	0	1.0	1.019	1.3465	0:00:01	32.37	45.22	26.74	27.15	0.00	0.00	39.80	1.04
pa	100000	100	0.01	12	0	1.0	1.019	1.3453	0:00:01	32.32	45.22	26.71	27.12	0.00	0.00	38.70	1.04
pa	100000	100	0.01	15	0	0.01	1.019	1.1228	0:00:01	32.39	45.22	26.71	27.15	0.00	0.00	45.43	1.00
pa	100000	100	0.01	15	0	0.01	1.019	1.1249	0:00:01	32.25	45.22	26.71	27.12	0.00	0.00	46.16	1.01
pa	100000	100	0.01	15	0	0.01	1.019	1.1462	0:00:01	32.45	45.22	26.74	27.15	0.00	0.00	46.33	1.02
pa	100000	100	0.01	15	0	0.4	1.019	1.1932	0:00:01	32.25	45.22	26.70	27.09	0.00	0.00	42.71	0.99
pa	100000	100	0.01	15	0	0.4	1.019	1.1472	0:00:01	32.68	45.22	26.72	27.14	0.00	0.00	46.14	1.05
pa	100000	100	0.01	15	0	0.4	1.019	1.1668	0:00:01	32.52	45.22	26.71	27.10	0.00	0.00	44.73	1.04
pa	100000	100	0.01	15	0	0.8	1.019	1.2124	0:00:01	32.46	45.22	26.72	27.11	0.00	0.00	42.86	1.00
pa	100000	100	0.01	15	0	0.8	1.019	1.1991	0:00:01	32.40	45.22	26.71	27.16	0.00	0.00	42.98	1.01
pa	100000	100	0.01	15	0	0.8	1.019	1.2176	0:00:01	32.27	45.22	26.72	27.11	0.00	0.00	42.77	1.01
pa	100000	100	0.01	15	0	1.0	1.019	1.2269	0:00:01	32.23	45.22	26.70	27.08	0.00	0.00	41.04	1.00
pa	100000	100	0.01	15	0	1.0	1.019	1.2315	0:00:01	32.36	45.22	26.71	27.12	0.00	0.00	42.25	0.99
pa	100000	100	0.01	15	0	1.0	1.019	1.2092	0:00:01	32.27	45.22	26.71	27.10	0.00	0.00	43.87	1.03
pa	100000	100	0.01	20	0	0.01	1.019	1.0659	0:00:01	32.37	45.22	26.72	27.12	0.00	0.00	47.92	0.98
pa	100000	100	0.01	20	0	0.01	1.019	1.0641	0:00:01	32.38	45.22	26.74	27.15	0.00	0.00	49.86	1.02
pa	100000	100	0.01	20	0	0.01	1.019	1.0681	0:00:01	32.36	45.22	26.75	27.14	0.00	0.00	47.70	0.98
pa	100000	100	0.01	20	0	0.4	1.019	1.1012	0:00:01	32.44	45.22	26.71	27.10	0.00	0.00	47.17	1.03
pa	100000	100	0.01	20	0	0.4	1.019	1.1181	0:00:01	32.30	45.22	26.71	27.09	0.00	0.00	45.66	0.97
pa	100000	100	0.01	20	0	0.4	1.019	1.1166	0:00:01	32.36	45.22	26.71	27.15	0.00	0.00	46.60	0.99
pa	100000	100	0.01	20	0	0.8	1.019	1.1102	0:00:01	32.38	45.22	26.75	27.13	0.00	0.00	45.18	1.01
pa	100000	100	0.01	20	0	0.8	1.019	1.1126	0:00:01	32.28	45.22	26.71	27.09	0.00	0.00	46.70	1.00
pa	100000	100	0.01	20	0	0.8	1.019	1.1278	0:00:01	32.49	45.22	26.74	27.16	0.00	0.00	45.20	1.00
pa	100000	100	0.01	20	0	1.0	1.019	1.1351	0:00:01	32.48	45.22	26.72	27.12	0.00	0.00	46.68	1.00
pa	100000	100	0.01	20	0	1.0	1.019	1.1190	0:00:01	32.40	45.22	26.73	27.14	0.00	0.00	46.50	1.00
pa	100000	100	0.01	20	0	1.0	1.019	1.1334	0:00:01	32.27	45.22	26.71	27.11	0.00	0.00	44.98	1.00
pa	100000	100	0.01	32	0	0.01	1.019	2.3666	0:00:02	32.21	45.22	26.73	27.17	0.00	0.00	65.81	2.06
pa	100000	100	0.01	32	0	0.01	1.019	2.4196	0:00:02	32.43	45.22	26.78	27.18	0.00	0.00	63.67	2.01
pa	100000	100	0.01	32	0	0.01	1.019	2.4132	0:00:02	32.35	45.22	26.72	27.13	0.00	0.00	64.25	2.04
pa	100000	100	0.01	32	0	0.4	1.019	2.3403	0:00:02	32.32	45.22	26.75	27.20	0.00	0.00	66.18	2.04
pa	100000	100	0.01	32	0	0.4	1.019	2.5212	0:00:02	32.31	45.22	26.72	27.11	0.00	0.00	61.05	2.02
pa	100000	100	0.01	32	0	0.4	1.019	2.5687	0:00:02	32.44	45.22	26.73	27.13	0.00	0.00	59.17	2.00
pa	100000	100	0.01	32	0	0.8	1.019	2.4510	0:00:02	32.51	45.22	26.72	27.11	0.00	0.00	62.23	2.02
pa	100000	100	0.01	32	0	0.8	1.019	2.5575	0:00:02	32.64	45.22	26.72	27.14	0.00	0.00	60.59	2.02
pa	100000	100	0.01	32	0	0.8	1.019	2.5293	0:00:02	32.40	45.22	26.72	27.17	0.00	0.00	61.27	2.03
pa	100000	100	0.01	32	0	1.0	1.019	2.4623	0:00:02	32.28	45.22	26.72	27.12	0.00	0.00	62.13	2.02
pa	100000	100	0.01	32	0	1.0	1.019	2.4601	0:00:02	32.37	45.22	26.73	27.14	0.00	0.00	63.16	2.03
pa	100000	100	0.01	32	0	1.0	1.019	2.5027	0:00:02	32.31	45.22	26.73	27.12	0.00	0.00	61.53	2.02
pa	100000	100	0.01	7	1	0.01	1.019	6.7378	0:00:06	32.55	45.22	26.85	27.25	0.00	0.00	84.20	6.16
pa	100000	100	0.01	7	1	0.01	1.019	7.0231	0:00:07	32.26	45.22	26.82	27.22	0.00	0.00	86.72	6.58
pa	100000	100	0.01	7	1	0.01	1.019	6.9172	0:00:06	32.42	45.22	26.80	27.19	0.00	0.00	88.48	6.60
pa	100000	100	0.01	7	1	0.4	1.019	7.6800	0:00:07	32.36	45.22	26.80	27.19	0.00	0.00	86.83	7.15
pa	100000	100	0.01	7	1	0.4	1.019	7.7383	0:00:07	32.27	45.22	26.80	27.22	0.00	0.00	86.97	7.22
pa	100000	100	0.01	7	1	0.4	1.019	7.6852	0:00:07	32.52	45.22	26.82	27.22	0.00	0.00	86.66	7.15
pa	100000	100	0.01	7	1	0.8	1.019	8.4559	0:00:08	32.34	45.22	26.82	27.27	0.00	0.00	91.54	8.21
pa	100000	100	0.01	7	1	0.8	1.019	8.5085	0:00:08	32.37	45.22	26.81	27.20	0.00	0.00	89.98	8.14
pa	100000	100	0.01	7	1	0.8	1.019	8.5761	0:00:08	32.48	45.22	26.80	27.20	0.00	0.00	88.96	8.11
pa	100000	100	0.01	7	1	1.0	1.019	8.7604	0:00:08	32.44	45.22	26.80	27.26	0.00	0.00	87.74	8.18
pa	100000	100	0.01	7	1	1.0	1.019	8.7424	0:00:08	32.59	45.22	26.81	27.21	0.00	0.00	87.96	8.18
pa	100000	100	0.01	7	1	1.0	1.019	8.6971	0:00:08	32.28	45.22	26.80	27.20	0.00	0.00	88.19	8.17
pa	100000	100	0.01	9	1	0.01	1.019	5.8702	0:00:05	32.54	45.22	26.83	27.24	0.00	0.00	86.88	5.59
pa	100000	100	0.01	9	1	0.01	1.019	5.8710	0:00:05	32.51	45.22	26.79	27.18	0.00	0.00	87.03	5.58
pa	100000	100	0.01	9	1	0.01	1.019	5.8295	0:00:05	32.39	45.22	26.79	27.20	0.00	0.00	87.83	5.59
pa	100000	100	0.01	9	1	0.4	1.019	6.5195	0:00:06	32.53	45.22	26.80	27.19	0.00	0.00	86.36	6.10
pa	100000	100	0.01	9	1	0.4	1.019	6.5498	0:00:06	32.37	45.22	26.80	27.21	0.00	0.00	85.79	6.09
pa	100000	100	0.01	9	1	0.4	1.019	6.5049	0:00:06	32.52	45.22	26.83	27.22	0.00	0.00	86.40	6.10
pa	100000	100	0.01	9	1	0.8	1.019	6.8680	0:00:06	32.43	45.22	26.80	27.21	0.00	0.00	89.26	6.62
pa	100000	100	0.01	9	1	0.8	1.019	6.9017	0:00:06	32.28	45.22	26.80	27.19	0.00	0.00	88.09	6.55
pa	100000	100	0.01	9	1	0.8	1.019	6.7126	0:00:06	32.52	45.22	26.80	27.24	0.00	0.00	84.77	6.18
pa	100000	100	0.01	9	1	1.0	1.019	6.9193	0:00:06	32.31	45.22	26.81	27.21	0.00	0.00	89.17	6.64
pa	100000	100	0.01	9	1	1.0	1.019	6.9801	0:00:06	32.26	45.22	26.80	27.18	0.00	0.00	87.97	6.62
pa	100000	100	0.01	9	1	1.0	1.019	7.0961	0:00:07	32.46	45.22	26.80	27.21	0.00	0.00	86.39	6.61
pa	100000	100	0.01	11	1	0.01	1.019	5.0697	0:00:05	32.27	45.24	26.79	27.18	0.00	0.00	80.67	4.57
pa	100000	100	0.01	11	1	0.01	1.019	5.0924	0:00:05	32.39	45.24	26.79	27.23	0.00	0.00	80.46	4.58
pa	100000	100	0.01	11	1	0.01	1.019	5.0674	0:00:05	32.36	45.24	26.79	27.22	0.00	0.00	80.82	4.57
pa	100000	100	0.01	11	1	0.4	1.019	5.5783	0:00:05	32.38	45.24	26.77	27.15	0.00	0.00	82.47	5.09
pa	100000	100	0.01	11	1	0.4	1.019	5.5349	0:00:05	32.53	45.24	26.82	27.22	0.00	0.00	84.29	5.15
pa	100000	100	0.01	11	1	0.4	1.019	5.5930	0:00:05	32.43	45.24	26.77	27.19	0.00	0.00	83.31	5.13
pa	100000	100	0.01	11	1	0.8	1.019	6.0043	0:00:06	32.39	45.24	26.77	27.15	0.00	0.00	85.98	5.65
pa	100000	100	0.01	11	1	0.8	1.019	5.9222	0:00:05	32.59	45.24	26.79	27.28	0.00	0.00	87.84	5.69
pa	100000	100	0.01	11	1	0.8	1.019	5.9444	0:00:05	32.29	45.24	26.79	27.17	0.00	0.00	87.19	5.65
pa	100000	100	0.01	11	1	1.0	1.019	5.9243	0:00:05	32.43	45.24	26.83	27.25	0.00	0.00	87.18	5.66
pa	100000	100	0.01	11	1	1.0	1.019	5.8934	0:00:05	32.50	45.24	26.79	27.21	0.00	0.00	86.70	5.62
pa	100000	100	0.01	11	1	1.0	1.019	5.8392	0:00:05	32.44	45.24	26.80	27.19	0.00	0.00	88.74	5.68
pa	100000	100	0.01	14	1	0.01	1.019	4.3485	0:00:04	32.45	45.24	26.77	27.16	0.00	0.00	82.53	4.05
pa	100000	100	0.01	14	1	0.01	1.019	4.2968	0:00:04	32.31	45.24	26.78	27.18	0.00	0.00	83.58	4.08
pa	100000	100	0.01	14	1	0.01	1.019	4.3773	0:00:04	32.54	45.24	26.79	27.22	0.00	0.00	81.78	4.05
pa	100000	100	0.01	14	1	0.4	1.019	4.7529	0:00:04	32.25	45.24	26.76	27.15	0.00	0.00	76.31	4.12
pa	100000	100	0.01	14	1	0.4	1.019	4.7279	0:00:04	32.44	45.24	26.75	27.14	0.00	0.00	85.87	4.53
pa	100000	100	0.01	14	1	0.4	1.019	4.6967	0:00:04	32.54	45.24	26.79	27.19	0.00	0.00	87.50	4.58
pa	100000	100	0.01	14	1	0.8	1.019	4.8362	0:00:04	32.39	45.24	26.77	27.18	0.00	0.00	85.67	4.66
pa	100000	100	0.01	14	1	0.8	1.019	4.8410	0:00:04	32.43	45.24	26.77	27.17	0.00	0.00	84.27	4.55
pa	100000	100	0.01	14	1	0.8	1.019	4.7833	0:00:04	32.39	45.24	26.77	27.21	0.00	0.00	86.14	4.60
pa	100000	100	0.01	14	1	1.0	1.019	4.8667	0:00:04	32.46	45.24	26.77	27.17	0.00	0.00	85.71	4.66
pa	100000	100	0.01	14	1	1.0	1.019	4.8131	0:00:04	32.31	45.24	26.77	27.16	0.00	0.00	85.19	4.58
pa	100000	100	0.01	14	1	1.0	1.019	4.8583	0:00:04	32.40	45.24	26.80	27.21	0.00	0.00	84.19	4.56
pa	100000	100	0.05	6	0	0.01	1.127	2.0139	0:00:02	32.52	45.22	26.80	27.21	0.00	0.00	50.18	1.49
pa	100000	100	0.05	6	0	0.01	1.127	2.0848	0:00:02	32.41	45.22	26.79	27.20	0.00	0.00	51.48	1.55
pa	100000	100	0.05	6	0	0.01	1.127	2.0853	0:00:02	32.41	45.22	26.79	27.18	0.00	0.00	47.93	1.47
pa	100000	100	0.05	6	0	0.4	1.124	2.2339	0:00:02	32.30	45.22	26.80	27.22	0.00	0.00	70.51	2.10
pa	100000	100	0.05	6	0	0.4	1.124	2.2729	0:00:02	32.44	45.22	26.81	27.20	0.00	0.00	67.74	2.00
pa	100000	100	0.05	6	0	0.4	1.124	2.2418	0:00:02	32.57	45.22	26.82	27.21	0.00	0.00	69.38	2.03
pa	100000	100	0.05	6	0	0.8	1.124	2.3719	0:00:02	32.27	45.22	26.84	27.29	0.00	0.00	65.46	2.05
pa	100000	100	0.05	6	0	0.8	1.124	2.3569	0:00:02	32.41	45.22	26.79	27.18	0.00	0.00	65.38	2.02
pa	100000	100	0.05	6	0	0.8	1.124	2.3739	0:00:02	32.53	45.22	26.82	27.22	0.00	0.00	65.30	2.03
pa	100000	100	0.05	6	0	1.0	1.124	2.3213	0:00:02	32.48	45.22	26.84	27.26	0.00	0.00	65.09	2.00
pa	100000	100	0.05	6	0	1.0	1.124	2.2922	0:00:02	32.54	45.22	26.87	27.26	0.00	0.00	67.62	2.01
pa	100000	100	0.05	6	0	1.0	1.124	2.3269	0:00:02	32.63	45.22	26.80	27.25	0.00	0.00	65.32	2.01
pa	100000	100	0.05	8	0	0.01	1.142	1.8138	0:00:01	32.28	45.22	26.80	27.25	0.00	0.00	57.74	1.53
pa	100000	100	0.05	8	0	0.01	1.142	1.7930	0:00:01	32.23	45.22	26.79	27.17	0.00	0.00	56.86	1.50
pa	100000	100	0.05	8	0	0.01	1.142	1.8088	0:00:01	32.33	45.22	26.79	27.17	0.00	0.00	56.96	1.51
pa	100000	100	0.05	8	0	0.4	1.139	1.8995	0:00:01	32.26	45.22	26.82	27.20	0.00	0.00	53.18	1.49
pa	100000	100	0.05	8	0	0.4	1.139	1.8965	0:00:01	32.37	45.22	26.82	27.22	0.00	0.00	54.30	1.52
pa	100000	100	0.05	8	0	0.4	1.139	1.8752	0:00:01	32.45	45.22	26.83	27.25	0.00	0.00	54.42	1.51
pa	100000	100	0.05	8	0	0.8	1.138	2.0363	0:00:02	32.41	45.22	26.79	27.19	0.00	0.00	49.62	1.49
pa	100000	100	0.05	8	0	0.8	1.138	2.0157	0:00:02	32.54	45.22	26.78	27.17	0.00	0.00	51.13	1.50
pa	100000	100	0.05	8	0	0.8	1.138	2.0035	0:00:02	32.60	45.22	26.79	27.18	0.00	0.00	50.94	1.51
pa	100000	100	0.05	8	0	1.0	1.137	1.9829	0:00:01	32.41	45.22	26.78	27.17	0.00	0.00	51.45	1.51
pa	100000	100	0.05	8	0	1.0	1.137	2.0102	0:00:02	32.24	45.22	26.80	27.25	0.00	0.00	51.22	1.53
pa	100000	100	0.05	8	0	1.0	1.137	1.9832	0:00:01	32.36	45.22	26.78	27.16	0.00	0.00	51.41	1.50
pa	100000	100	0.05	10	0	0.01	1.154	1.6526	0:00:01	32.23	45.22	26.81	27.20	0.00	0.00	62.32	1.51
pa	100000	100	0.05	10	0	0.01	1.154	1.6551	0:00:01	32.51	45.22	26.80	27.24	0.00	0.00	61.41	1.51
pa	100000	100	0.05	10	0	0.01	1.154	1.6693	0:00:01	32.41	45.22	26.81	27.20	0.00	0.00	61.09	1.50
pa	100000	100	0.05	10	0	0.4	1.152	1.7401	0:00:01	32.39	45.22	26.80	27.25	0.00	0.00	58.96	1.53
pa	100000	100	0.05	10	0	0.4	1.152	1.7625	0:00:01	32.38	45.22	26.79	27.17	0.00	0.00	57.83	1.51
pa	100000	100	0.05	10	0	0.4	1.152	1.7554	0:00:01	32.35	45.22	26.77	27.15	0.00	0.00	59.22	1.51
pa	100000	100	0.05	10	0	0.8	1.151	1.8097	0:00:01	32.50	45.22	26.78	27.18	0.00	0.00	56.90	1.51
pa	100000	100	0.05	10	0	0.8	1.151	1.8354	0:00:01	32.45	45.22	26.80	27.19	0.00	0.00	55.60	1.50
pa	100000	100	0.05	10	0	0.8	1.151	1.8398	0:00:01	32.33	45.22	26.80	27.18	0.00	0.00	55.97	1.51
pa	100000	100	0.05	10	0	1.0	1.150	1.7915	0:00:01	32.36	45.22	26.80	27.18	0.00	0.00	57.47	1.51
pa	100000	100	0.05	10	0	1.0	1.150	1.7733	0:00:01	32.52	45.22	26.79	27.19	0.00	0.00	57.49	1.51
pa	100000	100	0.05	10	0	1.0	1.150	1.8224	0:00:01	32.20	45.22	26.78	27.22	0.00	0.00	56.56	1.51
pa	100000	100	0.05	12	0	0.01	1.174	1.6135	0:00:01	32.31	45.22	26.79	27.18	0.00	0.00	31.38	1.06
pa	100000	100	0.05	12	0	0.01	1.174	1.5772	0:00:01	32.37	45.22	26.77	27.17	0.00	0.00	64.64	1.50
pa	100000	100	0.05	12	0	0.01	1.174	1.5694	0:00:01	32.48	45.22	26.79	27.19	0.00	0.00	65.00	1.51
pa	100000	100	0.05	12	0	0.4	1.170	1.6173	0:00:01	32.33	45.22	26.80	27.20	0.00	0.00	63.67	1.51
pa	100000	100	0.05	12	0	0.4	1.170	1.6095	0:00:01	32.42	45.22	26.77	27.19	0.00	0.00	64.02	1.54
pa	100000	100	0.05	12	0	0.4	1.170	1.6264	0:00:01	32.46	45.22	26.77	27.17	0.00	0.00	63.31	1.50
pa	100000	100	0.05	12	0	0.8	1.168	1.6686	0:00:01	32.47	45.22	26.78	27.19	0.00	0.00	61.07	1.49
pa	100000	100	0.05	12	0	0.8	1.168	1.6502	0:00:01	32.49	45.22	26.80	27.20	0.00	0.00	61.79	1.51
pa	100000	100	0.05	12	0	0.8	1.168	1.6279	0:00:01	32.40	45.22	26.77	27.18	0.00	0.00	63.24	1.51
pa	100000	100	0.05	12	0	1.0	1.167	1.6619	0:00:01	32.32	45.22	26.77	27.17	0.00	0.00	61.90	1.51
pa	100000	100	0.05	12	0	1.0	1.167	1.6078	0:00:01	32.39	45.22	26.78	27.22	0.00	0.00	65.30	1.54
pa	100000	100	0.05	12	0	1.0	1.167	1.6278	0:00:01	32.32	45.22	26.78	27.17	0.00	0.00	62.66	1.49
pa	100000	100	0.05	15	0	0.01	1.211	1.5137	0:00:01	32.38	45.22	26.77	27.15	0.00	0.00	34.33	1.00
pa	100000	100	0.05	15	0	0.01	1.211	1.4814	0:00:01	32.60	45.22	26.77	27.20	0.00	0.00	35.06	1.00
pa	100000	100	0.05	15	0	0.01	1.211	1.5019	0:00:01	32.41	45.22	26.78	27.16	0.00	0.00	34.62	1.00
pa	100000	100	0.05	15	0	0.4	1.207	1.5350	0:00:01	32.45	45.22	26.77	27.25	0.00	0.00	33.88	1.00
pa	100000	100	0.05	15	0	0.4	1.207	1.5636	0:00:01	32.45	45.22	26.78	27.21	0.00	0.00	65.25	1.49
pa	100000	100	0.05	15	0	0.4	1.207	1.5034	0:00:01	32.27	45.22	26.79	27.18	0.00	0.00	33.97	1.00
pa	100000	100	0.05	15	0	0.8	1.203	1.5302	0:00:01	32.31	45.22	26.76	27.14	0.00	0.00	33.36	0.99
pa	100000	100	0.05	15	0	0.8	1.203	1.4915	0:00:01	32.47	45.22	26.77	27.18	0.00	0.00	34.19	1.00
pa	100000	100	0.05	15	0	0.8	1.203	1.5074	0:00:01	32.48	45.22	26.77	27.23	0.00	0.00	33.78	1.00
pa	100000	100	0.05	15	0	1.0	1.200	1.5097	0:00:01	32.35	45.22	26.77	27.18	0.00	0.00	34.42	1.00
pa	100000	100	0.05	15	0	1.0	1.200	1.4954	0:00:01	32.42	45.22	26.78	27.18	0.00	0.00	33.43	0.98
pa	100000	100	0.05	15	0	1.0	1.200	1.5183	0:00:01	32.41	45.22	26.79	27.17	0.00	0.00	34.24	1.00
pa	100000	100	0.05	20	0	0.01	1.233	1.4562	0:00:01	32.48	45.22	26.80	27.20	0.00	0.00	35.02	0.99
pa	100000	100	0.05	20	0	0.01	1.233	1.4705	0:00:01	32.37	45.22	26.77	27.17	0.00	0.00	34.69	0.99
pa	100000	100	0.05	20	0	0.01	1.233	1.4697	0:00:01	32.52	45.22	26.76	27.16	0.00	0.00	35.39	1.01
pa	100000	100	0.05	20	0	0.4	1.232	1.4752	0:00:01	32.47	45.22	26.77	27.17	0.00	0.00	34.56	1.00
pa	100000	100	0.05	20	0	0.4	1.232	1.4560	0:00:01	32.36	45.22	26.77	27.15	0.00	0.00	35.71	1.00
pa	100000	100	0.05	20	0	0.4	1.232	1.4639	0:00:01	32.36	45.22	26.79	27.20	0.00	0.00	35.50	1.00
pa	100000	100	0.05	20	0	0.8	1.230	1.4610	0:00:01	32.55	45.22	26.77	27.19	0.00	0.00	35.62	1.02
pa	100000	100	0.05	20	0	0.8	1.230	1.4559	0:00:01	32.22	45.22	26.77	27.16	0.00	0.00	35.05	1.00
pa	100000	100	0.05	20	0	0.8	1.230	1.5152	0:00:01	32.49	45.22	26.77	27.16	0.00	0.00	33.67	0.98
pa	100000	100	0.05	20	0	1.0	1.230	1.4804	0:00:01	32.40	45.22	26.78	27.18	0.00	0.00	35.17	0.99
pa	100000	100	0.05	20	0	1.0	1.230	1.4603	0:00:01	32.43	45.22	26.77	27.15	0.00	0.00	34.90	1.00
pa	100000	100	0.05	20	0	1.0	1.230	1.4570	0:00:01	32.46	45.22	26.77	27.18	0.00	0.00	35.70	1.00
pa	100000	100	0.05	32	0	0.01	1.370	3.2719	0:00:03	32.51	45.22	26.80	27.19	0.00	0.00	79.17	3.08
pa	100000	100	0.05	32	0	0.01	1.370	3.5187	0:00:03	32.39	45.22	26.79	27.23	0.00	0.00	75.47	3.17
