alg	cnt	n	e	k	m	pf	band	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time
pa	10000	100	0.01	10	1	0.01	1.018	0.5335	0:00:00	9.12	20.77	3.44	3.82	0.00	0.00	0.00	0.49
pa	10000	100	0.01	10	1	0.4	1.018	0.5903	0:00:00	9.02	20.77	3.44	3.87	0.00	0.00	0.00	0.50
pa	10000	100	0.01	10	1	0.4	1.018	0.6147	0:00:00	8.84	20.77	3.43	3.80	0.00	0.00	0.00	0.49
pa	10000	100	0.01	10	1	0.8	1.018	0.6352	0:00:00	8.98	20.77	3.44	3.82	0.00	0.00	0.00	0.49
pa	10000	100	0.01	10	1	0.8	1.018	0.6347	0:00:00	9.25	20.77	3.44	3.82	0.00	0.00	0.00	0.49
pa	10000	100	0.01	10	1	1.0	1.018	0.6510	0:00:00	9.04	20.77	3.43	3.80	0.00	0.00	0.00	0.49
pa	10000	100	0.01	10	1	1.0	1.018	0.6540	0:00:00	9.30	20.77	3.44	3.95	0.00	0.00	0.00	0.49
pa	10000	100	0.01	11	1	0.01	1.018	0.5037	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	11	1	0.01	1.018	0.4937	0:00:00	0.00	1.31	0.03	0.03	0.00	0.00	0.00	0.00
pa	10000	100	0.01	11	1	0.4	1.018	0.5993	0:00:00	9.00	20.77	3.42	3.82	0.00	0.00	0.00	0.48
pa	10000	100	0.01	11	1	0.4	1.018	0.5835	0:00:00	9.05	20.77	3.43	3.80	0.00	0.00	0.00	0.49
pa	10000	100	0.01	11	1	0.8	1.018	0.6017	0:00:00	8.93	20.77	3.44	3.85	0.00	0.00	0.00	0.49
pa	10000	100	0.01	11	1	0.8	1.018	0.5892	0:00:00	9.11	20.77	3.44	3.82	0.00	0.00	0.00	0.51
pa	10000	100	0.01	11	1	1.0	1.018	0.6170	0:00:00	9.12	20.77	3.44	3.83	0.00	0.00	0.00	0.47
pa	10000	100	0.01	11	1	1.0	1.018	0.5988	0:00:00	9.14	20.77	3.43	3.80	0.00	0.00	0.00	0.50
pa	10000	100	0.01	14	1	0.01	1.018	0.4376	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	14	1	0.01	1.018	0.4314	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	14	1	0.4	1.018	0.4699	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	14	1	0.4	1.018	0.4866	0:00:00	2.93	7.10	0.45	0.59	0.00	0.00	0.00	0.00
pa	10000	100	0.01	14	1	0.8	1.018	0.4980	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
pa	10000	100	0.01	14	1	0.8	1.018	0.4899	0:00:00	2.73	7.10	0.31	0.51	0.00	0.00	0.00	0.00
pa	10000	100	0.01	14	1	1.0	1.018	0.4758	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00
